Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Type
Winter White,2022,0.05,,77,Witbier,16,Other
Oberon,1989,0.058,,77,American Pale Wheat Ale,16,Other Ale
Two Hearted,1988,0.07,,77,American IPA,16,IPA
Best Brown,1955,0.058,,77,American Brown Ale,16,Other Ale
Moar,2558,0.044,44,54,English India Pale Ale (IPA),12,IPA
Uber Lupin Schwarz IPA,2557,0.083,,54,American Double / Imperial IPA,16,IPA
Nordic Blonde,2556,0.057,27,54,American Blonde Ale,12,Other Ale
Cold Press,2496,0.06,,76,American Black Ale,12,Other Ale
Harness the Winter,2410,0.072,87,76,American IPA,12,IPA
14° ESB ,1902,0.056,32,76,Extra Special / Strong Bitter (ESB),12,Other
Bent Hop Golden IPA,1901,0.062,68,76,American IPA,12,IPA
Bent Paddle Black Ale,1261,0.06,34,76,American Black Ale,12,Other Ale
Venture Pils,1253,0.05,38,76,German Pilsener,12,Other
Lost Sailor IPA,1900,0.055,40,279,English India Pale Ale (IPA),12,IPA
Steel Rail Extra Pale Ale,1317,0.053,20,279,American Pale Ale (APA),12,APA
La Frontera Premium IPA,1158,0.078,,464,American IPA,12,IPA
Tejas Lager,1157,0.047,,464,Czech Pilsener,12,Other
Number 22 Porter,1156,0.064,,464,American Porter,12,Other
Big Bend Hefeweizen,1155,0.056,,464,Hefeweizen,12,Other
Terlingua Gold,1154,0.06,,464,American Blonde Ale,12,Other Ale
Aprè Shred,2104,0.081,17,221,American Strong Ale,16,Other Ale
Hemlock Double IPA,1762,0.095,104,221,American Double / Imperial IPA,12,IPA
West Portal Colorado Common Summer Ale,1422,0.041,,221,California Common / Steam Beer,16,Other
Disconnected Red,1067,0.067,85,221,American Amber / Red Ale,16,Other Ale
Big Elm IPA,1003,0.07,,478,American IPA,12,IPA
Gerry Dog Stout,1002,0.065,,478,American Stout,12,Other
413 Farmhouse Ale,1001,0.06,,478,Saison / Farmhouse Ale,12,Other Ale
Dark Star,2639,0.08,54,9,American Stout,16,Other
Ryecoe,2469,0.062,,9,American IPA,16,IPA
Blueberry Blonde,2586,0.06,,41,Fruit / Vegetable Beer,12,Other
Galaxy IPA,2585,0.075,60,41,American IPA,16,IPA
Big River Pilsner,643,0.05,32,520,Czech Pilsener,12,Other
House Brand IPA,632,0.06,55,520,American IPA,12,IPA
Big Sky IPA,1714,0.062,65,337,American IPA,12,IPA
Scape Goat Pale Ale,1713,0.05,40,337,English Pale Ale,12,Other Ale
Montana Trout Slayer Ale,1712,0.05,35,337,American Pale Wheat Ale,12,Other Ale
Moose Drool Brown Ale,1711,0.051,26,337,American Brown Ale,12,Other Ale
Powder Hound Winter Ale,1456,0.072,60,337,English Strong Ale,12,Other Ale
Moose Drool Brown Ale (2011),767,0.051,26,337,American Brown Ale,12,Other Ale
Montana Trout Slayer Ale (2012),766,0.05,35,337,American Pale Wheat Ale,12,Other Ale
Big Sky IPA (2012),579,0.062,65,337,American IPA,12,IPA
